22,821,40,23,0.05
19,760,42,22,0.08
17,701,39,20,0.07
21,802,44,24,0.09
20,782,41,23,0.06
18,712,43,21,0.04
22,819,42,24,0.03
16,663,38,20,0.05
20,774,43,23,0.07
19,745,40,22,0.06
17,685,39,21,0.04
23,871,45,25,0.08
21,801,42,24,0.05
18,718,40,21,0.06
20,766,44,23,0.08
22,828,41,24,0.07
19,748,39,22,0.05
16,657,38,20,0.03
18,723,40,21,0.06
21,794,44,23,0.09
20,768,43,23,0.07
17,693,39,21,0.04
23,884,45,25,0.08
19,737,42,22,0.06
22,822,41,24,0.08
21,794,44,24,0.09
18,713,40,21,0.07
16,657,38,20,0.04
20,775,43,23,0.06
19,742,40,22,0.05
22,823,44,24,0.09
23,873,45,25,0.1
21,806,42,24,0.07
17,685,39,20,0.04
16,658,38,20,0.03
19,742,40,22,0.05
21,805,44,24,0.08
20,764,43,23,0.07
22,830,42,24,0.09
18,721,39,21,0.06
23,882,45,25,0.1
19,744,42,22,0.06
17,690,39,21,0.04
21,802,44,24,0.08
16,658,38,20,0.03
22,815,41,24,0.07
20,780,43,23,0.06
18,714,39,21,0.06
23,885,45,25,0.1

